family_name,brochure_code,room_type,booking_id,customer_id,booked_date,departure_date,duration,pax,insurance_code,holiday_cost,destination_code
Swinburn,O,Double,100026,981,15AUG2012,03SEP2012,7,2,0,"£1,342.44",BC
Frere,V,Family,100041,992,20JUL2013,19APR2014,7,5,1,"£2,114.92",CN
Ghey,M,Family,100054,1020,02NOV2012,16AUG2013,7,4,1,"£2,675.90",RJ
Hancock,F,Double,100072,1044,14DEC2013,16JAN2014,7,2,0,"£1,696.14",TI
Hancock,T,Family,100080,1044,12DEC2013,25FEB2014,3,4,0,"£1,154.94",CR
Paget,Z,Tripple,100099,1050,29NOV2013,06SEP2014,14,3,0,"£3,996.38",CA
Cleverdon,B,Double,100184,1166,24OCT2014,28JUL2015,7,2,1,£853.20,DL
Brewis,U,Family,100330,1466,11OCT2013,15NOV2013,14,4,1,"£5,340.34",GQ
Burbridge,I,Family,100353,1491,08NOV2014,15AUG2015,14,4,1,"£3,380.88",AL
Melsome,A,Family,100367,1498,17SEP2014,20JUN2015,7,4,1,"£2,666.74",BC
Crockford,X,Family,100553,1817,03JAN2015,20APR2015,7,5,1,"£3,332.52",SO
Chadfield,J,Single,100645,1879,19MAY2016,02MAR2017,12,1,0,"£1,153.56",QH
Waldegrave,P,Family,100756,2032,13DEC2014,05OCT2015,7,5,1,"£4,212.94",QS
Clear,G,Family,100844,2187,05DEC2013,14MAR2014,7,5,1,"£4,210.54",JD
Ayles,V,Family,100857,2192,21NOV2013,09SEP2014,14,4,1,"£5,331.62",QM
Isaacs,N,Double,101102,2700,09JAN2015,08MAR2015,7,2,0,"£1,336.36",SG
Mcdonald,R,Double,101159,2800,26JAN2015,08APR2015,7,2,1,£849.94,KY
Sproston,F,Family,101201,2871,02MAY2013,14JUL2013,7,5,1,"£3,333.10",KA
Fountain-E,R,Double,101323,2954,26JAN2014,19NOV2014,12,2,0,"£2,296.66",HY
Nethersole,L,Tripple,101349,2959,01OCT2016,22NOV2016,7,3,0,"£1,263.36",XL
Purefoy,S,Tripple,101392,2992,19DEC2012,03MAR2013,14,3,0,"£4,004.32",DD
Millen,E,Family,101437,3085,19JAN2013,11NOV2013,14,4,1,"£5,326.58",BV
Dutton,X,Dormitory,101464,3091,16NOV2013,06SEP2014,14,9,1,"£15,134.56",SP
Hann,P,Tripple,101479,3109,01JAN2014,31JAN2014,14,3,0,"£2,538.54",AL
Sheldrick,P,Family,101597,3367,20DEC2012,14JAN2013,14,4,0,"£5,320.28",FS
Hasler,I,Single,101875,3966,21DEC2013,21FEB2014,3,1,0,£303.18,PT
Farnsworth,S,Family,101946,4076,20AUG2012,08JUN2013,7,5,0,"£3,335.36",LW
Sherrell,H,Double,102015,4175,21DEC2014,21JAN2015,14,2,1,"£2,671.88",BV
Binns,E,Tripple,102076,4293,26JUL2012,01SEP2012,7,3,0,"£2,522.36",MR
Tuffin,F,Single,102270,4692,25JAN2014,06MAR2014,7,1,1,£681.30,LT
Sellwood,Q,Double,102275,4693,25AUG2020,01JUN2021,12,2,0,"£2,283.86",BL
Waterman,I,Double,102360,4845,18JAN2015,02APR2015,12,2,0,"£2,883.56",MI
Hogbin,Y,Family,102452,5026,01FEB2013,04MAR2013,12,4,1,"£4,566.76",CC
Chalcott,H,Family,102516,5036,26OCT2013,15MAY2014,12,5,1,"£5,716.82",RO
Blakeway,V,Family,102706,5419,18JUL2012,02MAY2013,7,5,0,"£4,209.58",CM
Appleyard,C,Double,102720,5427,26AUG2020,02NOV2020,7,2,1,"£1,354.16",QM
Head,D,Dormitory,102808,5562,19MAY2014,18FEB2015,7,6,0,"£5,041.58",TM
Culpepper,V,Single,102819,5612,24OCT2013,27NOV2013,14,1,1,"£1,331.54",UR
Broadberry,N,Family,102849,5796,07JAN2014,26APR2014,14,5,1,"£6,668.92",RC
Ashling,U,Double,103087,6247,02JAN2011,12MAR2011,14,2,0,"£3,364.42",TL
Allen,N,Double,103091,6253,04APR2012,11JAN2013,7,2,0,£847.40,NK
Roose,F,Family,103175,6359,15APR2018,15MAY2018,14,4,1,"£5,342.00",AB
Sinden,Z,Family,103257,6515,28DEC2012,08OCT2013,12,4,0,"£4,564.82",RD
Angwin,L,Family,103324,6609,01NOV2013,23AUG2014,7,4,0,"£2,676.74",GA
Eva,A,Family,103388,6662,30APR2018,09MAY2018,14,4,1,"£5,341.76",KK
Burdikin,M,Single,103487,6879,30SEP2011,16NOV2011,14,1,0,"£1,694.46",JP
Molyneaux,Z,Single,103524,6906,06NOV2013,17JAN2014,14,1,1,£856.22,KP
Molyneaux,O,Tripple,103538,6906,13NOV2014,17MAY2015,14,3,1,"£2,539.32",LH
Halsall,Q,Family,103573,6958,22NOV2012,25AUG2013,14,5,0,"£6,666.46",LB
Lawley,L,Double,103703,7277,18OCT2014,10AUG2015,7,2,1,£852.44,LA
Sharpe,K,Tripple,103745,7295,29AUG2013,02NOV2013,7,3,1,"£1,268.94",AT
Sharpe,M,Family,103792,7295,03SEP2014,16JUN2015,14,4,1,"£6,737.60",SZ
Stupples,C,Family,103802,7442,02JAN2015,03FEB2015,14,5,1,"£4,220.64",CY
Heard,B,Double,103819,7458,18JAN2015,06APR2015,14,2,0,"£2,668.92",MC
Heard,F,Family,103894,7458,12JAN2014,17FEB2014,12,5,0,"£5,707.82",OV
Leather,W,Dormitory,103910,7674,31JAN2013,10MAR2013,7,8,0,"£5,333.62",BL
Leather,C,Family,103953,7674,29JAN2014,17APR2014,14,4,0,"£5,333.00",WG
Joysey,H,Double,104036,7769,18DEC2012,19JUN2013,12,2,0,"£2,292.26",ST
Mardment,E,Double,104116,7824,21SEP2015,10APR2016,14,2,1,"£2,666.74",AE
Treleaven,L,Double,104207,7931,01MAR2019,25APR2019,7,2,1,"£1,337.44",TB
Wright,Q,Double,104218,8064,08APR2015,15APR2015,12,2,0,"£2,890.68",GX
Birling,J,Family,104291,8095,03AUG2013,05OCT2013,7,4,1,"£2,676.44",UT
Bignell,M,Family,104315,8162,28NOV2012,28AUG2013,14,4,1,"£5,344.38",DU
Wall,M,Family,104425,8175,12SEP2014,17NOV2014,14,4,1,"£5,343.92",QH
Bond,Q,Double,104456,8443,20JAN2015,19MAR2015,14,2,0,"£3,365.50",GC
Went,L,Single,104460,8470,02FEB2013,12FEB2013,14,1,0,"£1,342.02",ZC
Went,M,Tripple,104464,8470,05FEB2013,07AUG2013,14,3,1,"£4,011.04",CG
Vawser,A,Double,104499,8517,06MAR2017,03DEC2017,7,2,1,"£1,699.40",PK
Kidd,A,Family,104585,8580,23JAN2020,06APR2020,14,5,1,"£8,404.80",NP
Noden,G,Double,104610,8666,28NOV2013,01SEP2014,7,2,0,"£1,691.18",JP
Gould,L,Single,104641,8709,28JAN2014,07APR2014,14,1,0,£853.54,XA
Hook,Y,Tripple,104776,8736,23JAN2014,25JUL2014,14,3,1,"£5,048.48",AA
Willday,V,Tripple,104816,8848,29SEP2013,06JUL2014,7,3,1,"£1,265.08",XN
Macdonald,O,Family,105064,8988,10DEC2013,14JUN2014,12,5,0,"£5,713.24",LV
Murgatroyd,D,Family,105104,9287,11SEP2013,26JUN2014,7,4,0,"£1,697.54",ZJ
Dewhurst,Y,Family,105128,9326,10OCT2013,13DEC2013,12,5,1,"£3,617.88",XY
Gaselee,I,Double,105171,9383,01FEB2015,17AUG2015,14,2,0,"£3,367.88",BH
Fletcher,I,Single,105247,9457,17SEP2012,20JUN2013,12,1,1,"£1,459.68",CD
Merrills,F,Family,105289,9484,03OCT2012,25DEC2012,14,4,0,"£5,332.70",PS
Denning,M,Tripple,105314,9691,02FEB2013,18MAY2013,7,3,1,"£2,000.10",CA
Plumtree,S,Tripple,105400,9720,17JAN2015,17OCT2015,7,3,0,"£1,995.64",OY
Purefoy,J,Single,105435,9928,05JAN2015,02OCT2015,14,1,0,£846.80,AT
Stamp,P,Family,105451,9992,26JUL2014,29APR2015,14,5,1,"£6,652.68",PE
Birling,M,Dormitory,105496,10100,19JAN2015,17OCT2015,14,6,1,"£7,996.14",ZK
Ledbrook,X,Family,105566,10102,20SEP2012,14JAN2013,12,4,1,"£2,897.32",LR
Bovey,M,Family,105706,10227,20JAN2014,29JAN2014,7,4,1,"£2,662.48",DA
Widdrington,K,Dormitory,105730,10371,24APR2013,14FEB2014,7,6,0,"£3,998.80",JM
Hollington,X,Double,105746,10406,22JAN2013,13APR2013,14,2,1,"£2,667.14",AV
Bissett,K,Single,105770,10558,23SEP2013,04NOV2013,12,1,0,"£1,447.66",MK
Bissett,H,Family,105844,10558,20SEP2013,24NOV2013,14,5,0,"£6,662.50",PS
Witheridge,Z,Tripple,105945,10741,10OCT2012,21DEC2012,14,3,0,"£3,994.22",MC
Colby,G,Single,105947,11072,31DEC2012,10OCT2013,7,1,1,£669.82,BL
Colby,M,Single,105989,11072,29DEC2013,02MAR2014,7,1,0,£667.46,MP
Jeeps,G,Tripple,105991,11115,10JAN2015,07FEB2015,14,3,1,"£4,002.12",VC
Duerden,F,Family,105997,11132,08NOV2014,05AUG2015,12,4,0,"£4,573.42",DA
Lambert,J,Family,106045,11156,02JAN2014,23OCT2014,7,5,1,"£2,117.00",PA
Lambert,I,Family,106318,11156,04JAN2015,28JUL2015,14,4,1,"£6,728.78",LP
Kirby,F,Double,106436,11735,14SEP2014,14NOV2014,7,2,0,"£1,692.96",PK
Kelsey,T,Tripple,106543,11898,07DEC2012,27MAR2013,7,3,1,"£1,275.30",LA
Kidd,B,Tripple,106665,11992,27DEC2012,12JAN2013,7,3,0,"£1,997.80",QC
Patten,O,Family,106702,12109,13JAN2014,06MAY2014,3,5,0,"£1,438.62",QC
Sinclair,B,Family,106716,12113,06DEC2012,08SEP2013,12,4,1,"£4,565.98",MO
Orpin,L,Dormitory,106886,12164,22DEC2013,07MAR2014,14,6,0,"£5,045.96",UV
Cleverdon,C,Single,106903,12340,09OCT2014,06DEC2014,14,1,1,£859.60,ZF
Goater,F,Double,106983,12400,14MAR2012,19JUN2012,14,2,1,"£3,371.34",MI
Goater,T,Double,107004,12400,09MAR2013,16DEC2013,12,2,1,"£1,450.12",XP
Lanfear,N,Single,107200,12476,11MAY2014,02JUL2014,3,1,0,£194.34,AT
Shanks,W,Tripple,107329,12715,10JAN2013,27MAR2013,7,3,0,"£1,998.90",UQ
Heywood,C,Double,107407,12969,21JAN2015,10NOV2015,7,2,0,"£1,692.92",SP
Harle,Q,Dormitory,107510,13131,18SEP2012,21DEC2012,7,6,1,"£2,533.18",QJ
Boam,O,Double,107576,13155,19JAN2015,21FEB2015,7,2,1,"£1,347.14",CG
Embery,R,Family,107615,13212,22JAN2013,13FEB2013,7,5,0,"£3,340.34",UL
Musgrave,M,Family,107738,13321,04JAN2013,16OCT2013,7,5,1,"£3,346.98",FH
Mallinder,H,Double,107759,13665,09MAY2014,05JUL2014,7,2,1,"£1,348.28",LM
Wanlace,A,Family,107884,13829,13NOV2020,31AUG2021,7,4,0,"£3,375.86",CU
Smedley,B,Family,108006,14063,01DEC2014,19SEP2015,14,4,0,"£6,738.88",KR
Poole,S,Single,108053,14255,17NOV2012,21DEC2012,3,1,0,£301.32,BY
Tickner,O,Tripple,108079,14257,08MAR2016,13APR2016,14,3,1,"£5,053.80",YW
Goodship,S,Dormitory,108147,14288,18DEC2013,29MAR2014,12,6,1,"£4,330.02",EX
Eyston,M,Double,108167,14319,08SEP2014,30NOV2014,7,2,1,"£1,333.64",VE
Crockford,D,Family,108203,14472,03MAY2014,09JUN2014,7,4,1,"£2,679.38",MN
Bamforth,C,Dormitory,108205,14513,12JAN2015,05NOV2015,14,6,0,"£7,985.28",XM
Kilmister,O,Double,108219,14566,13JAN2013,23APR2013,7,2,1,"£1,694.28",PK
Harrison,X,Dormitory,108295,14573,19SEP2012,25NOV2012,12,6,1,"£4,335.52",ZM
Killingworth,E,Tripple,108306,14594,01OCT2013,04JUL2014,7,3,1,"£1,276.70",XY
